series website type started wikipediaPage firstHostCountry
IMO https://www.imo-official.org/ Mathematics 1959 https://en.wikipedia.org/wiki/International_Mathematical_Olympiad Romania
ICPC https://icpc.baylor.edu/ Programming 1970 https://en.wikipedia.org/wiki/International_Collegiate_Programming_Contest USA
ACSL https://www.acsl.org/ Programming 1978 https://en.wikipedia.org/wiki/American_Computer_Science_League USA
IOI https://ioinformatics.org/ Programming 1989 https://en.wikipedia.org/wiki/International_Olympiad_in_Informatics Bulgaria
ICFPProgrammingContest https://icfpcontest2019.github.io/ Programming 1998 https://en.wikipedia.org/wiki/ICFP_Programming_Contest USA
TopCoder https://www.topcoder.com/ Programming 2001 https://en.wikipedia.org/wiki/Topcoder USA
TopCoderOpen https://tco19.topcoder.com/ Programming 2001 https://en.wikipedia.org/wiki/Topcoder_Open USA
GoogleCodeJam https://codingcompetitions.withgoogle.com/codejam Programming 2003 https://en.wikipedia.org/wiki/Google_Code_Jam USA
IEEEExtreme https://ieeextreme.org/ Programming 2006 https://en.wikipedia.org/wiki/IEEEXtreme Online
CodeChef https://www.codechef.com/ Programming 2009 https://en.wikipedia.org/wiki/CodeChef India
CodeForces https://codeforces.com/ Programming 2010 https://en.wikipedia.org/wiki/Codeforces Russia
AtCoder https://atcoder.jp/ Programming 2010 na Japan
Kaggle https://www.kaggle.com/ DataScience 2010 https://en.wikipedia.org/wiki/Kaggle USA
FacebookHackerCup https://www.facebook.com/hackercup/ Programming 2011 https://en.wikipedia.org/wiki/Facebook_Hacker_Cup USA
HackerEarth https://www.hackerearth.com/ Programming 2012 https://en.wikipedia.org/wiki/HackerEarth USA
HackerRank https://www.hackerrank.com Programming 2012 https://en.wikipedia.org/wiki/HackerRank USA
