Books for Programmers
=====================

Download as JSON | TSV | CSV
 https://pldb.io/books.json JSON
 https://pldb.io/books.tsv TSV
 https://pldb.io/books.csv CSV

title,authors,links,year,pages,languagesUsed,publisher
The Art of Computer Programming,Donald E. Knuth,"<a href=""https://www-cs-faculty.stanford.edu/~knuth/taocp.html"">homepage</a>",1968,3168,null,Addison-Wesley
The Mythical Man-Month,Frederick P. Brooks Jr.,"<a href=""https://en.wikipedia.org/wiki/The_Mythical_Man-Month"">homepage</a>",1975,336,null,Addison-Wesley
Recursive Programming Techniques,William H. Burge,,1975,300,null,Addison-Wesley
The C Programming Language,Brian W. Kernighan and Dennis M. Ritchie,"<a href=""https://en.wikipedia.org/wiki/The_C_Programming_Language"">homepage</a>",1978,288,c,Prentice Hall
Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman and Julie Sussman,"<a href=""https://web.mit.edu/6.001/6.037/sicp.pdf"">pdf</a>",1985,657,scheme lisp,MIT Press
Programming Pearls,Jon Bentley,"<a href=""https://en.wikipedia.org/wiki/Programming_Pearls"">homepage</a>",1986,256,null,Addison-Wesley
The TeXbook,Donald E. Knuth,"<a href=""https://visualmatheditor.equatheque.net/doc/texbook.pdf"">pdf</a>",1986,640,null,Addison-Wesley
"Compilers: Principles, Techniques, and Tools",Alfred V. Aho and Monica S. Lam and Ravi Sethi and Jeffrey D. Ullman,"<a href=""https://github.com/qshadun/books/blob/master/Compilers%20Principles%20Techniques%20and%20Tools%20(2nd%20Edition)%20.pdf"">pdf</a>",1986,1040,null,Pearson Education
Introduction to Algorithms,Thomas H. Cormen and Charles E. Leiserson and Ronald L. Rivest and Clifford Stein,"<a href=""https://mitpress.mit.edu/9780262046305/introduction-to-algorithms/"">homepage</a>",1990,1312,null,MIT Press
Paradigms of Artificial Intelligence Programming,Peter Norvig,"<a href=""https://github.com/norvig/paip-lisp"">source</a>",1992,368,lisp,Morgan Kaufmann
Code Complete,Steve McConnell,"<a href=""https://www.stevemcconnell.com/cc.htm"">homepage</a>",1993,960,null,Microsoft Press
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma and Richard Helm and Ralph Johnson and John Vlissides,"<a href=""https://en.wikipedia.org/wiki/Design_Patterns"">homepage</a>",1994,395,cpp smalltalk,Addison-Wesley
The Little Schemer,Daniel P. Friedman and Matthias Felleisen,"<a href=""https://mitpress.mit.edu/9780262560993/the-little-schemer/"">homepage</a>",1995,216,scheme,MIT Press
Introduction to the Theory of Computation,Michael Sipser,"<a href=""https://www.amazon.com/Introduction-Theory-Computation-Michael-Sipser/dp/113318779X"">homepage</a>",1996,504,null,Cengage Learning
The Art of Doing Science and Engineering: Learning to Learn,Richard W. Hamming,"<a href=""https://press.stripe.com/the-art-of-doing-science-and-engineering"">homepage</a>",1997,376,null,CRC Press
The Pragmatic Programmer: Your Journey to Mastery,Andrew Hunt and David Thomas,"<a href=""https://pragprog.com/titles/tpp20/the-pragmatic-programmer-20th-anniversary-edition/"">homepage</a>",1999,352,null,Addison-Wesley
Refactoring: Improving the Design of Existing Code,Martin Fowler,"<a href=""https://martinfowler.com/books/refactoring.html"">homepage</a>",1999,448,java,Addison-Wesley
Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"<a href=""https://www.charlespetzold.com/code/"">homepage</a>",1999,400,null,Microsoft Press
Prolog Programming for Artificial Intelligence,Ivan Bratko,"<a href=""https://www.amazon.com/Programming-Artificial-Intelligence-International-Computer/dp/0321417461"">homepage</a>",2000,704,prolog,Addison-Wesley
Why's (Poignant) Guide to Ruby,Why the Lucky Stiff,"<a href=""https://poignant.guide/"">homepage</a> <a href=""https://github.com/mislav/poignant-guide"">source</a>",2000,128,ruby,Penguin Books
Effective Java,Joshua Bloch,"<a href=""https://www.oreilly.com/library/view/effective-java-3rd/9780134686097/"">homepage</a>",2001,416,java,Addison-Wesley
Thinking Forth,Leo Brodie,"<a href=""https://thinkingforth.sourceforge.io/"">homepage</a> <a href=""https://github.com/forthy42/thinking-forth"">source</a> <a href=""https://www.forth.com/wp-content/uploads/2018/11/thinking-forth-color.pdf"">pdf</a>",2001,160,forth,MIT Press
The Cathedral and the Bazaar,Eric S. Raymond,"<a href=""https://www.oreilly.com/library/view/the-cathedral/0596001088/"">homepage</a>",2001,352,null,O'Reilly Media
Patterns of Enterprise Application Architecture,Martin Fowler,"<a href=""https://martinfowler.com/books/eaa.html"">homepage</a>",2002,560,null,Addison-Wesley
Types and Programming Languages,Benjamin C. Pierce,"<a href=""https://www.cis.upenn.edu/~bcpierce/tapl/"">homepage</a> <a href=""https://github.com/MPRI/M2-4-2/blob/master/Types%20and%20Programming%20Languages.pdf"">pdf</a>",2002,648,null,MIT Press
Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"<a href=""https://www.oreilly.com/library/view/domain-driven-design-tackling/0321125215/"">homepage</a>",2003,560,null,Addison-Wesley
The Art of Unix Programming,Eric S. Raymond,"<a href=""http://www.catb.org/esr/writings/taoup/"">homepage</a>",2003,352,unix,Addison-Wesley
The Fun of Programming,Jeremy Gibbons and Oege de Moor,"<a href=""http://conal.net/papers/functional-images/fop-conal.pdf"">pdf</a>",2003,277,haskell,Red Globe Press
Head First Design Patterns,Eric Freeman and Elisabeth Robson and Bert Bates and Kathy Sierra,"<a href=""https://www.oreilly.com/library/view/head-first-design/0596007124/"">homepage</a>",2004,694,java,O'Reilly Media
Working Effectively with Legacy Code,Michael Feathers,"<a href=""https://www.oreilly.com/library/view/working-effectively-with/0131177052/"">homepage</a>",2004,456,null,Prentice Hall
Practical Common Lisp,Peter Seibel,"<a href=""https://www.gigamonkeys.com/book/"">homepage</a>",2005,504,lisp,Apress
Mastering Regular Expressions,Jeffrey E. F. Friedl,"<a href=""https://www.oreilly.com/library/view/mastering-regular-expressions/0596528124/"">homepage</a>",2006,542,null,O'Reilly Media
Beautiful Code,Andy Oram and Greg Wilson,"<a href=""https://www.oreilly.com/library/view/beautiful-code/9780596510046/"">homepage</a>",2007,592,null,O'Reilly Media
Programming Collective Intelligence,Toby Segaran,"<a href=""https://www.oreilly.com/library/view/programming-collective/9780596529321/"">homepage</a>",2007,256,python,O'Reilly Media
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"<a href=""https://www.amazon.com/Clean-Code-Handbook-Software-Craftsmanship/dp/0132350882"">homepage</a>",2008,464,java,Prentice Hall
Cracking the Coding Interview,Gayle Laakmann McDowell,"<a href=""https://www.crackingthecodinginterview.com/"">homepage</a>",2008,708,java cpp,CareerCup
Let Over Lambda,Doug Hoyte,"<a href=""https://mitpress.mit.edu/9780262082638/let-over-lambda/"">homepage</a> <a href=""https://github.com/thephoeron/let-over-lambda/blob/master/let-over-lambda.lisp"">source</a>",2008,376,lisp,MIT Press
Real World Haskell,Bryan O'Sullivan and Don Stewart and John Goerzen,"<a href=""http://book.realworldhaskell.org/"">homepage</a>",2008,714,haskell,O'Reilly Media
JavaScript: The Good Parts,Douglas Crockford,"<a href=""https://www.oreilly.com/library/view/javascript-the-good/9780596517748/"">homepage</a>",2008,176,javascript,O'Reilly Media
Version Control with Git,Prem Kumar Ponuthorai and Jon Loeliger,"<a href=""https://www.oreilly.com/library/view/version-control-with/9781492091189/"">homepage</a>",2009,546,null,O'Reilly Media
Coders at Work,Peter Seibel,"<a href=""https://codersatwork.com/"">homepage</a>",2009,632,null,Apress
The Passionate Programmer,Chad Fowler,"<a href=""https://pragprog.com/titles/cfcar2/the-passionate-programmer-2nd-edition/"">homepage</a>",2009,232,null,Pragmatic Bookshelf
Erlang Programming,Francesco Cesarini and Simon Thompson,"<a href=""https://www.oreilly.com/library/view/erlang-programming/9780596803940/"">homepage</a>",2009,498,erlang,O'Reilly Media
The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"<a href=""https://www.oreilly.com/library/view/clean-coder-the/9780132542913/"">homepage</a>",2011,256,null,Pearson
Eloquent JavaScript,Marijn Haverbeke,"<a href=""https://eloquentjavascript.net/"">homepage</a> <a href=""https://eloquentjavascript.net/Eloquent_JavaScript.pdf"">pdf</a>",2011,472,javascript,No Starch Press
Learn You a Haskell for Great Good!,Miran Lipovača,"<a href=""http://learnyouahaskell.com/"">homepage</a> <a href=""https://github.com/learnyouahaskell/learnyouahaskell.github.io"">source</a>",2011,400,haskell,No Starch Press
Eloquent Ruby,Russ Olsen,"<a href=""http://eloquentruby.com/"">homepage</a>",2011,448,ruby,Addison-Wesley
Engineering a Compiler,Keith D. Cooper and Linda Torczon,"<a href=""https://github.com/lighthousand/books/blob/master/Engineering%20A%20Compiler%202nd%20Edition%20by%20Cooper%20and%20Torczon.pdf"">pdf</a>",2011,824,null,Morgan Kaufmann
The Definitive ANTLR 4 Reference,Terence Parr,"<a href=""https://pragprog.com/titles/tpantlr2/the-definitive-antlr-4-reference/"">homepage</a>",2012,328,antlr,Pragmatic Bookshelf
Homotopy Type Theory,Mike Shulman and Andrej Bauer,"<a href=""https://homotopytypetheory.org/book/"">homepage</a> <a href=""https://github.com/HoTT/book"">source</a> <a href=""https://hott.github.io/book/hott-online-15-ge428abf.pdf"">pdf</a>",2012,400,null,Princeton University Press
