id	homepage	gits	pldbInterview	twitter	born	died	wikipedia	country	primaryLink
Aaron Swartz					1986		https://en.wikipedia.org/wiki/Aaron_Swartz	United States	https://en.wikipedia.org/wiki/Aaron_Swartz
Mark Sibly		https://github.com/blitz-research						Australia	https://github.com/blitz-research
Adele Goldberg					1945		https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist)	United States	https://en.wikipedia.org/wiki/Adele_Goldberg_(computer_scientist)
David Roundy					1973		https://en.wikipedia.org/wiki/David_Roundy	United States	https://en.wikipedia.org/wiki/David_Roundy
Patrick Michaud	https://pmichaud.com/							United States	https://pmichaud.com/
Breck Yunits	https://breckyunits.com	https://github.com/breck7		https://twitter.com/breckyunits	1984			United States	https://breckyunits.com
Adriaan van Wijngaarden					1916		https://en.wikipedia.org/wiki/Adriaan_van_Wijngaarden	Netherlands	https://en.wikipedia.org/wiki/Adriaan_van_Wijngaarden
Alain Colmerauer					1941		https://en.wikipedia.org/wiki/Alain_Colmerauer	France	https://en.wikipedia.org/wiki/Alain_Colmerauer
Alan Edelman					1963		https://en.wikipedia.org/wiki/Alan_Edelman	United States	https://en.wikipedia.org/wiki/Alan_Edelman
Alan Kay					1940		https://en.wikipedia.org/wiki/Alan_Kay	United States	https://en.wikipedia.org/wiki/Alan_Kay
Hadley Wickham	https://hadley.nz/	https://github.com/hadley		https://x.com/hadleywickham	1979		https://en.wikipedia.org/wiki/Hadley_Wickham	New Zealand	https://hadley.nz/
Alan Perlis					1922		https://en.wikipedia.org/wiki/Alan_Perlis	United States	https://en.wikipedia.org/wiki/Alan_Perlis
Mitchel Resnick					1956		https://en.wikipedia.org/wiki/Mitchel_Resnick	United States	https://en.wikipedia.org/wiki/Mitchel_Resnick
John Maloney	https://faberllull.cat/en/resident.cfm?id=38257&url=john-maloney.htm							United States	https://faberllull.cat/en/resident.cfm?id=38257&url=john-maloney.htm
Jens Mönig		https://github.com/jmoenig		https://x.com/moenig				Germany	https://github.com/jmoenig
Bernat Romagosa	http://romagosa.work/	https://github.com/bromagosa						Spain	http://romagosa.work/
Yasmin Kafai	https://www.yasminkafai.com/						https://en.wikipedia.org/wiki/Yasmin_Kafai	Germany	https://www.yasminkafai.com/
Alfred Aho					1941		https://en.wikipedia.org/wiki/Alfred_Aho	Canada	https://en.wikipedia.org/wiki/Alfred_Aho
Jeffrey Heer	https://homes.cs.washington.edu/~jheer/	https://github.com/jheer		https://x.com/jeffrey_heer	1979		https://en.wikipedia.org/wiki/Jeffrey_Heer	United States	https://homes.cs.washington.edu/~jheer/
Anders Hejlsberg		https://github.com/ahejlsberg		https://x.com/ahejlsberg	1960		https://en.wikipedia.org/wiki/Anders_Hejlsberg	Denmark	https://github.com/ahejlsberg
Andrei Alexandrescu					1969		https://en.wikipedia.org/wiki/Andrei_Alexandrescu	Romania	https://en.wikipedia.org/wiki/Andrei_Alexandrescu
John D. Hunter					1968		https://en.wikipedia.org/wiki/John_D._Hunter	United States	https://en.wikipedia.org/wiki/John_D._Hunter
Anthony James Barr					1940		https://en.wikipedia.org/wiki/Anthony_James_Barr	United States	https://en.wikipedia.org/wiki/Anthony_James_Barr
Arthur Whitney					1957		https://en.wikipedia.org/wiki/Arthur_Whitney_(computer_scientist)	Canada	https://en.wikipedia.org/wiki/Arthur_Whitney_(computer_scientist)
Barbara Liskov					1939		https://en.wikipedia.org/wiki/Barbara_Liskov	United States	https://en.wikipedia.org/wiki/Barbara_Liskov
Bertrand Meyer	https://bertrandmeyer.com/			https://x.com/Bertrand_Meyer	1950		https://en.wikipedia.org/wiki/Bertrand_Meyer	France	https://bertrandmeyer.com/
Lingdong Huang	https://lingdong.works/	https://github.com/LingDong-/		https://x.com/LingdongH	1997			China	https://lingdong.works/
Charlie Bass					1942		https://en.wikipedia.org/wiki/Charlie_Bass_(engineer)	United States	https://en.wikipedia.org/wiki/Charlie_Bass_(engineer)
Bill Paxton					1949		https://en.wikipedia.org/wiki/Bill_Paxton_(computer_scientist)	United States	https://en.wikipedia.org/wiki/Bill_Paxton_(computer_scientist)
Jose E. Marchesi	https://www.jemarch.net/				1980			Spain	https://www.jemarch.net/
Bjarne Stroustrup	https://www.stroustrup.com/				1950		https://en.wikipedia.org/wiki/Bjarne_Stroustrup	Denmark	https://www.stroustrup.com/
Brad Cox					1944		https://en.wikipedia.org/wiki/Brad_Cox	United States	https://en.wikipedia.org/wiki/Brad_Cox
Brendan Eich	https://brendaneich.com/			https://x.com/BrendanEich	1961		https://en.wikipedia.org/wiki/Brendan_Eich	United States	https://brendaneich.com/
Brian Fox					1959		https://en.wikipedia.org/wiki/Brian_Fox_(computer_programmer)	United States	https://en.wikipedia.org/wiki/Brian_Fox_(computer_programmer)
Brian Kernighan	https://www.cs.princeton.edu/~bwk/		https://pldb.io/blog/brianKernighan.html		1942		https://en.wikipedia.org/wiki/Brian_Kernighan	Canada	https://www.cs.princeton.edu/~bwk/
Carl Sassenrath					1957		https://en.wikipedia.org/wiki/Carl_Sassenrath	United States	https://en.wikipedia.org/wiki/Carl_Sassenrath
Marshall Lochbaum	https://mlochbaum.github.io/	https://github.com/mlochbaum						United States	https://mlochbaum.github.io/
Jean Paoli							https://en.wikipedia.org/wiki/Jean_Paoli	France	https://en.wikipedia.org/wiki/Jean_Paoli
Matthew Fysh		https://github.com/mattfysh		https://x.com/mattfysh				United Kingdom	https://github.com/mattfysh
Kartik Chandra	https://cs.stanford.edu/~kach/	https://github.com/kach		https://x.com/_k_a_c_h_				United States	https://cs.stanford.edu/~kach/
Michael Sperberg-McQueen	http://cmsmcq.com/						https://en.wikipedia.org/wiki/Michael_Sperberg-McQueen	United States	http://cmsmcq.com/
John W. Cowan	http://vrici.lojban.org/~cowan/						https://en.wikipedia.org/wiki/John_W._Cowan	United States	http://vrici.lojban.org/~cowan/
Kevin Hammond		https://github.com/kevinhammond		https://x.com/khstandrews				United Kingdom	https://github.com/kevinhammond
Fredrik Kjolstad	https://fredrikbk.com/	https://github.com/fredrikbk						Norway	https://fredrikbk.com/
James Cooke Brown					1921		https://en.wikipedia.org/wiki/James_Cooke_Brown	United States	https://en.wikipedia.org/wiki/James_Cooke_Brown
Daniel Fedorin	https://danilafe.com/	https://github.com/DanilaFe			1998			Canada	https://danilafe.com/
Alex Beregszaszi	https://rtfs.hu/	https://github.com/axic		https://x.com/alexberegszaszi				Hungary	https://rtfs.hu/
Norman H. Nie					1943		https://en.wikipedia.org/wiki/Norman_H._Nie	United States	https://en.wikipedia.org/wiki/Norman_H._Nie
Charles Goldfarb					1939		https://en.wikipedia.org/wiki/Charles_Goldfarb	United States	https://en.wikipedia.org/wiki/Charles_Goldfarb
Charles H. Moore					1938		https://en.wikipedia.org/wiki/Charles_H._Moore	United States	https://en.wikipedia.org/wiki/Charles_H._Moore
Mike Lesk					1945		https://en.wikipedia.org/wiki/Mike_Lesk	United States	https://en.wikipedia.org/wiki/Mike_Lesk
Eric Schmidt					1955		https://en.wikipedia.org/wiki/Eric_Schmidt	United States	https://en.wikipedia.org/wiki/Eric_Schmidt
Stephen C. Johnson					1944		https://en.wikipedia.org/wiki/Stephen_C._Johnson	United States	https://en.wikipedia.org/wiki/Stephen_C._Johnson
Charles Katz					1938		https://en.wikipedia.org/wiki/Charles_Katz	United States	https://en.wikipedia.org/wiki/Charles_Katz
Chris Done	https://chrisdone.com/	https://github.com/chrisdone		https://x.com/christopherdone				United Kingdom	https://chrisdone.com/
Chris Lattner	https://www.nondot.org/sabre/	https://github.com/lattner		https://x.com/clattner_llvm	1978		https://en.wikipedia.org/wiki/Chris_Lattner	United States	https://www.nondot.org/sabre/
Chuck Geschke					1939		https://en.wikipedia.org/wiki/Charles_Geschke	United States	https://en.wikipedia.org/wiki/Charles_Geschke
Cleve Moler					1939		https://en.wikipedia.org/wiki/Cleve_Moler	United States	https://en.wikipedia.org/wiki/Cleve_Moler
Chris Pearson	https://www.chrispsn.com/	https://github.com/chrispsn		https://x.com/kcodetweets				United Kingdom	https://www.chrispsn.com/
Dan Ingalls					1944		https://en.wikipedia.org/wiki/Dan_Ingalls	United States	https://en.wikipedia.org/wiki/Dan_Ingalls
Ingy döt Net	http://ingy.net/	https://github.com/ingydotnet						United States	http://ingy.net/
Dan Weinreb					1959		https://en.wikipedia.org/wiki/Daniel_Weinreb	United States	https://en.wikipedia.org/wiki/Daniel_Weinreb
Daniel X Moore	https://danielx.net/			https://x.com/DanielXMoore				United States	https://danielx.net/
Dave Bayer					1955		https://en.wikipedia.org/wiki/Dave_Bayer	United States	https://en.wikipedia.org/wiki/Dave_Bayer
David May					1951		https://en.wikipedia.org/wiki/David_May_(computer_scientist)	United Kingdom	https://en.wikipedia.org/wiki/David_May_(computer_scientist)
Dave Winer					1955		https://en.wikipedia.org/wiki/Dave_Winer	United States	https://en.wikipedia.org/wiki/Dave_Winer
David A. Moon	http://users.rcn.com/david-moon/				1956		https://en.wikipedia.org/wiki/David_A._Moon	United States	http://users.rcn.com/david-moon/
David Axmark					1962		https://en.wikipedia.org/wiki/David_Axmark	Sweden	https://en.wikipedia.org/wiki/David_Axmark
David Cournapeau					1980		https://en.wikipedia.org/wiki/David_Cournapeau	France	https://en.wikipedia.org/wiki/David_Cournapeau
Erik Demaine	https://erikdemaine.org/	https://github.com/edemaine						Canada	https://erikdemaine.org/
David Ungar					1955		https://en.wikipedia.org/wiki/David_Ungar	United States	https://en.wikipedia.org/wiki/David_Ungar
Andrey Zholos	http://althenia.net/	https://github.com/zholos						Ukraine	http://althenia.net/
Dennis Ritchie	https://www.bell-labs.com/usr/dmr/www/				1941		https://en.wikipedia.org/wiki/Dennis_Ritchie	United States	https://www.bell-labs.com/usr/dmr/www/
Don Box					1964		https://en.wikipedia.org/wiki/Don_Box	United States	https://en.wikipedia.org/wiki/Don_Box
Ellie Kanning-Dawn	https://ekdawn.com/about#bio							United States	https://ekdawn.com/about#bio
Don Syme				https://x.com/dsymetweets	1965		https://en.wikipedia.org/wiki/Don_Syme	United Kingdom	https://x.com/dsymetweets
Yon Fernández de Retana	https://anaseto.codeberg.page/							Spain	https://anaseto.codeberg.page/
Donald D. Chamberlin					1944		https://en.wikipedia.org/wiki/Donald_D._Chamberlin	United States	https://en.wikipedia.org/wiki/Donald_D._Chamberlin
Mike Bostock	https://bost.ocks.org/mike/	https://github.com/mbostock		https://x.com/mbostock			https://en.wikipedia.org/wiki/Mike_Bostock	United States	https://bost.ocks.org/mike/
Peter Schaffter	https://www.schaffter.ca/							Canada	https://www.schaffter.ca/
Douglas Crockford	https://www.crockford.com/	https://github.com/douglascrockford	https://pldb.io/blog/douglasCrockford.html		1955		https://en.wikipedia.org/wiki/Douglas_Crockford	United States	https://www.crockford.com/
Douglas McIlroy					1932		https://en.wikipedia.org/wiki/Douglas_McIlroy	United States	https://en.wikipedia.org/wiki/Douglas_McIlroy
Nils M Holm	https://www.t3x.org/							Germany	https://www.t3x.org/
Erik Arvidsson		https://github.com/arv		https://x.com/erikarvidsson				Sweden	https://github.com/arv
Maxime Chevalier-Boisvert	https://pointersgonewild.com/	https://github.com/maximecb		https://x.com/Love2Code				Canada	https://pointersgonewild.com/
Aaron Boodman	https://aaronboodman.com/	https://github.com/aboodman						Canada	https://aaronboodman.com/
Dwayne Richard Hipp	https://www.hwaci.com/drh/index.html				1961		https://en.wikipedia.org/wiki/D._Richard_Hipp	United States	https://www.hwaci.com/drh/index.html
Friedrich L. Bauer					1924		https://en.wikipedia.org/wiki/Friedrich_L._Bauer	Germany	https://en.wikipedia.org/wiki/Friedrich_L._Bauer
Gary Grossman					1962		https://en.wikipedia.org/wiki/Gary_Grossman	United States	https://en.wikipedia.org/wiki/Gary_Grossman
Gerald Jay Sussman					1947		https://en.wikipedia.org/wiki/Gerald_Jay_Sussman	United States	https://en.wikipedia.org/wiki/Gerald_Jay_Sussman
Wouter Van Oortmerssen	https://strlen.com/	https://github.com/aardappel		https://x.com/wvo				Netherlands	https://strlen.com/
Grace Hopper					1906		https://en.wikipedia.org/wiki/Grace_Hopper	United States	https://en.wikipedia.org/wiki/Grace_Hopper
Graham Nelson					1968		https://en.wikipedia.org/wiki/Graham_Nelson	United Kingdom	https://en.wikipedia.org/wiki/Graham_Nelson
PhoenixHimself		https://github.com/Ph0enixKM		https://x.com/PhoenixHimself				United Kingdom	https://github.com/Ph0enixKM
Guido van Rossum	https://gvanrossum.github.io/			https://x.com/gvanrossum	1956		https://en.wikipedia.org/wiki/Guido_van_Rossum	Netherlands	https://gvanrossum.github.io/
Guy Steele					1954		https://en.wikipedia.org/wiki/Guy_L._Steele_Jr.	United States	https://en.wikipedia.org/wiki/Guy_L._Steele_Jr.
Håkon Wium Lie	https://www.wiumlie.no/				1965		https://en.wikipedia.org/wiki/H%C3%A5kon_Wium_Lie	Norway	https://www.wiumlie.no/
Hampton Lintorn-Catlin	https://hamptonmakes.com/	https://github.com/hamptonmakes			1982		https://en.wikipedia.org/wiki/Hampton_Lintorn-Catlin	United States	https://hamptonmakes.com/
James Gosling	https://nighthacks.com/			https://x.com/errcraft	1955		https://en.wikipedia.org/wiki/James_Gosling	Canada	https://nighthacks.com/
James Strachan					1969		https://en.wikipedia.org/wiki/James_Strachan_(programmer)	United Kingdom	https://en.wikipedia.org/wiki/James_Strachan_(programmer)
Jean E. Sammet					1928		https://en.wikipedia.org/wiki/Jean_E._Sammet	United States	https://en.wikipedia.org/wiki/Jean_E._Sammet
Jean Ichbiah					1940		https://en.wikipedia.org/wiki/Jean_Ichbiah	France	https://en.wikipedia.org/wiki/Jean_Ichbiah
Donald Knuth	https://cs.stanford.edu/~knuth/			https://x.com/realdonaldknuth	1938		https://en.wikipedia.org/wiki/Donald_Knuth	United States	https://cs.stanford.edu/~knuth/
Anthony Bonkoski	https://xorvoid.com/	https://github.com/xorvoid			1990			United States	https://xorvoid.com/
