id	website	packages	appeared
javascript	http://npmjs.org	901,025	1995
java	https://search.maven.org/	266,776	1995
php	https://packagist.org/	211,636	1995
perl	https://www.cpan.org/	176,876	1987
python	https://pypi.python.org/pypi	167,097	1991
csharp	https://www.nuget.org/	141,524	2000
swift	https://cocoapods.org/	57,000	2014
clojure	https://clojars.org/	23,459	2007
rust	https://crates.io/	22,486	2010
r	https://cran.r-project.org/	13,674	1993
haskell	https://hackage.haskell.org/	13,487	1990
ruby	https://rubygems.org/	9,889	1995
matlab	https://www.mathworks.com/matlabcentral/fileexchange/	9,718	1984
erlang	https://hex.pm/	8,069	1986
tex	https://ctan.org/	5,649	1978
stata	https://www.stata.com/manuals/rssc.pdf	4,608	1985
smalltalk	http://smalltalkhub.com/	4,534	1972
powershell	https://www.powershellgallery.com/	4,382	2006
emacs-editor	https://melpa.org/	4,079	1976
dart	https://pub.dartlang.org/	2,751	2011
maple	https://www.maplesoft.com/applications/	2,650	1982
ocaml	https://opam.ocaml.org/	2,224	1996
lua	https://luarocks.org/	2,047	1993
julia	https://pkg.julialang.org/	1,906	2012
d	https://code.dlang.org/	1,498	2001
dynamo-visual-language	https://dynamopackages.com/	1,494	2011
haxe	https://lib.haxe.org/	1,303	2005
racket	https://pkgs.racket-lang.org/	1,122	1994
elm	https://package.elm-lang.org/	594	2012
coldfusion	https://www.forgebox.io	519	1995
nim	https://nimble.directory/	499	2008
spark	https://spark-packages.org/	441	1988
prolog	http://www.swi-prolog.org/pldoc/doc/SWI/library/prolog_pack.pl	275	1972
mathematica	http://packagedata.net/	210	1988
