name	status	series	starts	year	days	location	country	nameLink	twitterLink	twitter
Systems, Programming, Languages and Applications: Software for Humanity 2024	upcoming	SPLASH	October 20	2024	5	Pasadena, CA	USA	https://2024.splashcon.org/	https://twitter.com/splashcon	splashcon
OOPSLA 2024	upcoming	Object-Oriented Programming, Systems, Languages & Applications	October 20	2024	5	Pasadena, CA	USA	https://2024.splashcon.org/track/splash-2024-OOPSLA	https://twitter.com/splashcon	splashcon
RacketCon 2024	upcoming	RacketCon	October 5	2024	2	University of Washington, Seattle, WA	USA	https://con.racket-lang.org/		
Dyalog '24	upcoming	Dyalog	September 15	2024	5	Glasgow, Scotland	UK	https://www.dyalog.com/user-meetings/dyalog24.htm		
International Conference on Functional Programming 2024	upcoming	ICFP	September 2	2024	5	Milan	Italy	https://icfp24.sigplan.org/	https://twitter.com/icfp_conf	icfp_conf
JuliaCon 2024	upcoming	JuliaCon	July 9	2024	5	Eindhoven	Netherlands	https://juliacon.org/2024/		
DATA2024	upcoming	International Conference on Data Science, Technology and Applications	July 9	2024	3	Dijon	France	https://data.scitevents.org/		
ICSOFT	upcoming	International Conference on Software Technologies	July 9	2024	3	Dijon	France	https://icsoft.scitevents.org/		
Programming Language Design and Implementation 2024	over	PLDI	June 24	2024	5	Copenhagen	Denmark	https://pldi24.sigplan.org/		
PyCon 2024	over	PyCon	May 15	2024	8	Pittsburgh, Pennsylvania	USA	https://us.pycon.org/2024/		
European Lisp Symposium	over	EULisp	May 6	2024	2	Vienna	Austria	https://www.european-lisp-symposium.org/2024/index.html		
RacketCon 2023	over	RacketCon	October 28	2023	2	Northwestern University, Evanston, IL	USA	https://con.racket-lang.org/2023/		
Systems, Programming, Languages and Applications: Software for Humanity 2023	over	SPLASH	October 22	2023	5	Lisbon	Portugal	https://2023.splashcon.org/	https://twitter.com/splashcon	splashcon
Haskell Symposium 2023	over	HaskellSymposium	September 8	2023	2	Seattle, WA	USA	https://www.haskell.org/haskell-symposium/2023/index.html		
European Lisp Symposium	over	EULisp	April 24	2023	2	Amsterdam	Netherlands	https://www.european-lisp-symposium.org/2023/		
45th International Conference on Software Engineering	over	ICSE2023	May 14	2023	5	Melbourne Convention and Exhibition Centre	Australia	https://conf.researchr.org/home/icse-2023		
ICSOFT2023	over	International Conference on Software Technologies	July 10	2023	2	Rome	Italy	https://icsoft.scitevents.org/		
DATA2023	over	International Conference on Data Science, Technology and Applications	July 11	2023	2	Rome	Italy	https://data.scitevents.org/		
World Conference on Computer and Information Technology	over	WCCIT	March 3	2023	1	Vienna	Austria	https://www.steconf.org/conference/world-conference-on-computer-and-information-technology/		
Connect Empower 2023(Women Who Code)	over	CE	March 2	2023	2	San Francisco	USA	https://hopin.com/events/connect-2023/registration		
9th International Conference on Advances in Computer Science and Information Technology	over	ACSTY2023	January 28	2023	2	Copenhagen	Denmark	https://acsty2023.org/		
Data Science and Machine Learning	over	DSML	January 9	2023	1	Ruddlesway	Germany	https://datascience.annualcongress.com/registration.php		
Systems, Programming, Languages and Applications: Software for Humanity 2021	over	SPLASH	December 5	2022	5	Milford Sound	New Zealand	https://2022.splashcon.org/	https://twitter.com/splashcon	splashcon
RacketCon 2022	over	RacketCon	October 28	2022	2	Providence, Rhode Island	USA	https://con.racket-lang.org/		
PostgreSQL Conference Europe	over	PCE	October 26	2022	2	Berlin	Germany	https://2022.pgconf.eu/		
Strange Loop 2022	over	StangeLoop	September 22	2022	3	Union Station, St. Louis, Missouri	USA	https://www.thestrangeloop.com/	https://twitter.com/strangeloop_stl	strangeloop_stl
International Conference on Functional Programming 2022	over	ICFP	September 11	2022	5	Ljubljana	Slovenia	https://icfp22.sigplan.org/		
Psychology of Programming Interest Group 2022	over	PPIG	September 5	2022	4	Milton Keynes	UK	https://ppig.org/workshops/2022-annual-workshop/		
Balisage: The Markup Conference 2022	over	Balisage	August 1	2022	4	Online	Online	http://www.balisage.net/		
Programming Language Design and Implementation 2022	over	PLDI	June 15	2022	2	San Diego	USA	https://conf.researchr.org/home/pldi-2022		
RacketCon 2021	over	RacketCon	November 5	2021	2	Online	Online	https://con.racket-lang.org/2021/		
Systems, Programming, Languages and Applications: Software for Humanity 2021	over	SPLASH	October 17	2021	5	Chicago, Illinois	USA	https://2021.splashcon.org/	https://twitter.com/splashcon	splashcon
Strange Loop 2021	over	StangeLoop	September 30	2021	3	Union Station, St. Louis, Missouri	USA	https://www.thestrangeloop.com/	https://twitter.com/strangeloop_stl	strangeloop_stl
International Conference on Functional Programming 2021	over	ICFP	August 22	2021	5	Online	Online	https://icfp21.sigplan.org/		
Balisage: The Markup Conference 2021	over	Balisage	August 2	2021	5	Washington, D.C.	USA	http://www.balisage.net/		
Psychology of Programming Interest Group 2021	over	PPIG	June 21	2021	5	Online	Online	https://ppig.org/workshops/2021-annual-workshop/		
History of Programming Languages IV	over	HOPL	June 20	2021	3	Online	Online	https://hopl4.sigplan.org/		
Programming Language Design and Implementation 2021	over	PLDI	June 20	2021	3	Online	Online	https://conf.researchr.org/home/pldi-2021		
Systems, Programming, Languages and Applications: Software for Humanity 2020	over	SPLASH	November 15	2020	5	Online	Online	https://2020.splashcon.org/	https://twitter.com/splashcon	splashcon
RacketCon 2020	over	RacketCon	October 17	2020	2	Online	Online	https://con.racket-lang.org/		
Strange Loop 2020	over	StangeLoop	October 1	2020	3	Stifel Theatre, St. Louis, MO, USA	USA	https://www.thestrangeloop.com/	https://twitter.com/strangeloop_stl	strangeloop_stl
International Conference on Functional Programming 2020	over	ICFP	August 24	2020	3	Online	Online	https://icfp19.sigplan.org/home/icfp-2020		
Psychology of Programming Interest Group 2020	over	PPIG	July 29	2020	3	Online	Online	http://www.ppig.org/upcoming/ppig-2020		
Balisage: The Markup Conference 2020	over	Balisage	July 28	2020	3	Rockville, Maryland	USA	http://www.balisage.net/		
Programming Language Design and Implementation 2020	over	PLDI	June 15	2020	5	Online	Online	https://conf.researchr.org/home/pldi-2020		
42nd International Conference on Software Engineering	over	ICSE	May 23	2020	5	Online	Online	https://conf.researchr.org/home/icse-2020		
2020 ACM CHI Conference on Human Factors in Computing Systems	over	CHI	April 25	2020	5	Honolulu, Hawaii	USA	http://www.ppig.org/upcoming/chi-2020		
‹Programming›	over	ICASEP	March 23	2020	3	Online	Online	https://2020.programming-conference.org/	https://twitter.com/programmingconf	programmingconf
Psychology of Programming Interest Group Work-in-Progress 2020	over	PPIGWIP	February 17	2020	2	Sheffield Hallam University, Sheffield	UK	http://www.ppig.org/upcoming/ppig-wip-2020		
Principles of Programming Languages 2020	over	POPL	January 19	2020	5	New Orleans, Louisiana	United States	https://popl20.sigplan.org/		
Systems, Programming, Languages and Applications: Software for Humanity 2019	over	SPLASH	October 20	2019	5	Athens, Greece	Greece	https://conf.researchr.org/home/splash-2019		
Strange Loop 2019	over	StangeLoop	September 12	2019	3	Stifel Theatre, St. Louis, MO, USA	USA	https://www.thestrangeloop.com/		
Psychology of Programming Interest Group	over	PPIG	August 28	2019	3	School of Computing, Urban Sciences Building, Newcastle University, Newcastle, UK	UK	http://www.ppig.org/workshops/ppig-2019-30th-annual-workshop		
International Conference on Functional Programming 2019	over	ICFP	August 19	2019	3	Berlin, Germany	Germany	https://icfp19.sigplan.org/		
Second International Summer School on Metaprogramming	over	ISSMP	August 11	2019	5	Schloss Dagstuhl, Germany	Germany	https://www.cl.cam.ac.uk/events/metaprog/2019/		
Balisage: The Markup Conference 2019	over	Balisage	July 29	2019	3	Rockville, Maryland, USA	USA	http://www.balisage.net/		
RacketCon 2019	over	RacketCon	July 13	2019	2	University of Utah, Salt Lake City, Utah, USA	USA	https://con.racket-lang.org/		
Programming Language Design and Implementation 2019	over	PLDI	June 24	2019	3	Phoenix, AZ, USA	USA	https://pldi19.sigplan.org/home		
Oregon Programming Languages Summer School 2019	over	OPLSS	June 17	2019	30	Eugene, OR, USA	USA	https://www.cs.uoregon.edu/research/summerschool/summer19/		
Principles of Programming Languages 2019	over	POPL	January 13	2019	5	Lisbon, Portugal	Portugal	https://popl19.sigplan.org/		
Code Mesh 2018	over	CodeMesh	November 8	2018	2	London, UK	UK	https://codesync.global/conferences/code-mesh-2018/	https://twitter.com/codemeshio	codemeshio
Systems, Programming, Languages and Applications: Software for Humanity 2018	over	SPLASH	November 4	2018	5	Boston, MA, USA	USA	https://conf.researchr.org/track/splash-2018/splash-2018-OOPSLA		
International Conference on Functional Programming 2018	over	ICFP	October 23	2018	5	St. Louis, Missouri, USA	USA	https://conf.researchr.org/home/icfp-2018		
Strange Loop 2018	over	StangeLoop	September 26	2018	3	St. Louis, MO, USA	USA	https://www.thestrangeloop.com/		
Programming Language Design and Implementation 2018	over	PLDI	June 18	2018	5	Philadelphia, PA, USA	USA	http://pldi18.sigplan.org/		
CRAFT 2018	over	CRAFT	May 8	2018	3	Budapest	Hungary	https://craft-conf.com/		
2018 ACM CHI Conference on Human Factors in Computing Systems	over	CHI	April 21	2018	5	Montreal	Canada	https://chi2018.acm.org/		
Principles of Programming Languages 2018	over	POPL	January 10	2018	3	Los Angeles, CA, USA	USA	https://popl18.sigplan.org/		
Code Mesh 2017	over	CodeMesh	November 7	2017	3	London, UK	UK	http://www.codemesh.io/	https://twitter.com/codemeshio	codemeshio
Systems, Programming, Languages and Applications: Software for Humanity 2017	over	SPLASH	October 22	2017	5	Vancouver, Canada	Canada	https://2017.splashcon.org/		
Strange Loop 2017	over	StangeLoop	September 28	2017	3	Peabody Opera House, St. Louis, MO, USA	USA	https://www.thestrangeloop.com/		
History of Programming Languages III	over	HOPL	June 9	2007	2	San Diego, CA, USA	USA	http://research.ihost.com/hopl/HOPL-III.html		
