List of File Extensions
=======================

Here is the list of 1,761 unique file extensions across 808 languages in PLDB.

name|_$^nameLink|_$^extensions|_$^numberOfExtensions
JavaScript|_$^../concepts/javascript.html|_$^_js bones cjs es6 jake jakefile js jsb jscad jsfl jsm jss mjs njs pac sjs ssjs xsjs xsjslib es frag gs javascript jslib jspre jsx|_$^26
C|_$^../concepts/c.html|_$^c cats ec idc pgc h x[bp]m Mono|_$^8
Python|_$^../concepts/python.html|_$^py pyc pyd pyo buck build.bazel gclient gyp gypi lmi py3 pyde pyi pyp pyt pyw sconscript sconstruct snakefile tac workspace wscript wsgi xpy cgi fcgi rpy smk spec jy sage sc SConstruct SConscript bzl BUCK BUILD BUILD.bazel WORKSPACE|_$^39
Java|_$^../concepts/java.html|_$^java jav|_$^2
C++|_$^../concepts/cpp.html|_$^C c++ c++m cc ccm CPP cpp cppm cxx cxxm h++ inl ipp ixx pcc tcc tpp cp h hh hpp hxx inc ino re H|_$^26
HTML|_$^../concepts/html.html|_$^htm html html.hl xht hta htmlhl inc xhtml xslt|_$^9
CSS|_$^../concepts/css.html|_$^css|_$^1
Perl|_$^../concepts/perl.html|_$^pl pm t pod ack al cpanfile makefile.pl perl ph plh plx psgi rexfile p6 cgi fcgi|_$^17
Ruby|_$^../concepts/ruby.html|_$^rb appraisals berksfile brewfile builder buildfile capfile dangerfile deliverfile eye fastfile gemfile gemfile.lock gemspec god guardfile irbrc jarfile jbuilder mavenfile mspec podfile podspec pryrc puppetfile rabl rake rbuild rbw rbx ru snapfile thor thorfile vagrantfile watchr fcgi pluginspec prawn rbi ruby spec Rakefile duby Gemfile Vagrantfile|_$^46
PHP|_$^../concepts/php.html|_$^php phtml php3 php4 php5 php7 phps aw ctp phakefile php_cs php_cs.dist phpt fcgi inc php[345]|_$^16
XML|_$^../concepts/xml.html|_$^adml admx ant app.config axml builds ccproj ccxml classpath clixml cproject cscfg csdef csl ct depproj ditamap ditaval dll.config dotsettings filters fsproj gmx grxml iml ivy jelly jsproj kml launch mdpolicy mjml natvis ndproj nproj nuget.config nuspec odd osm packages.config pkgproj plist proj project props ps1xml psc1 pt rdf resx rss scxml settings.stylecop sfproj shproj srdf storyboard sttheme sublime-snippet targets tmcommand tml tmlanguage tmpreferences tmsnippet tmtheme urdf ux vcxproj vsixmanifest vssettings vstemplate vxml web.config web.debug.config web.release.config wsf x3d xacro xib xlf xliff XML xml xml.dist xproj xspec xul zcml axaml csproj dita dllconfig fxml glade gml gst hzp mm mod mxml ncl pluginspec qhelp res rs sch ts tsx ui vbproj wixproj workflow wsdl wxi wxl wxs xaml xmi xmldist xmp xsd xsl xslt|_$^124
JSON|_$^../concepts/json.html|_$^arcconfig avsc composer.lock geojson gltf har htmlhintrc json json-tmlanguage jsonl mcmeta mcmod.info tern-config tern-project tfstate tfstate.backup topojson watchmanconfig webapp webmanifest yyp 4DForm 4DProject ice JSON-tmLanguage tfstatebackup yy Pipfile.lock|_$^28
Go|_$^../concepts/go.html|_$^go ʕ◔ϖ◔ʔ|_$^2
TypeScript|_$^../concepts/typescript.html|_$^ts tsx mts cts|_$^4
SQL|_$^../concepts/sql.html|_$^cql mysql psql SQL sql tab udf viw ddl inc prc|_$^11
C#|_$^../concepts/csharp.html|_$^cs cake csx linq|_$^4
R|_$^../concepts/r.html|_$^r R RData rds rda expr-dist rd rprofile rsx|_$^9
Bash|_$^../concepts/bash.html|_$^sh bash bats cgi command env fcgi ksh shin tmux tool zsh zsh-theme ebuild eclass exheres-0 exlib .bashrc bashrc .bash_* bash_* zshrc .zshrc .kshrc kshrc PKGBUILD|_$^26
PowerShell|_$^../concepts/powershell.html|_$^ps1 psd1 psm1|_$^3
Rust|_$^../concepts/rust.html|_$^rs rlib rs.in rsin|_$^4
Swift|_$^../concepts/swift.html|_$^swift|_$^1
Scala|_$^../concepts/scala.html|_$^scala sc kojo sbt|_$^4
Lua|_$^../concepts/lua.html|_$^lua nse p8 pd_lua rbxs wlua fcgi rockspec|_$^8
MATLAB|_$^../concepts/matlab.html|_$^m matlab|_$^2
