id,website,description,creators,started,episodes,appleRatings,appleRatingsLink
Software Engineering Radio,https://se-radio.net,From the IEEE. Targeted at the professional software developer.,Markus Völter,2006,624,255,https://podcasts.apple.com/us/podcast/software-engineering-radio-the-podcast-for/id120906714
Lex Fridman,https://lexfridman.com/podcast,"Conversations about science, technology, history, philosophy, and the nature of intelligence, consciousness, love, and power.",Lex Fridman,2018,437,10900,https://podcasts.apple.com/us/podcast/lex-fridman-podcast/id1434243584
Soft Skills Engineering,https://softskills.audio,A humorous take on the human side of software engineering.,Jamison Dance and Dave Smith,2015,416,255,https://podcasts.apple.com/us/podcast/soft-skills-engineering/id1091341048
CppCast,https://cppcast.com,The first podcast by C++ developers for C++ developers.,Timur Doumler and Phil Nash,2015,384,105,https://podcasts.apple.com/us/podcast/cppcast/id968703120
2.5 Admins,https://2.5admins.com,"2.5 Admins is a podcast featuring two sysadmins called Allan Jude and Jim Salter, and a producer/editor who can just about configure a Samba share called Joe Ressington. Every two weeks we get together, talk about recent tech news, and answer some of your admin-related questions.",Jim Salter and Allan Jude and Joe Ressington,2020,202,10,https://podcasts.apple.com/gb/podcast/2-5-admins/id1509561572
ADSP,https://adspthepodcast.com/,"The Algorithms + Data Structures = Programs Podcast (aka ADSP: The Podcast) is a programming podcast hosted by two NVIDIA software engineers that focuses on the C++ and Rust programming languages. Topics discussed include algorithms, data structures, programming languages, latest news in tech and more. The podcast was initially inspired by Magic Read Along.",Conor Hoekstra and Bryce Adelstein Lelbach,2020,190,11,https://podcasts.apple.com/ca/podcast/algorithms-data-structures-programs/id1541407369
Darknet Diaries,https://darknetdiaries.com,"True stories from the dark side of the Internet. A podcast about hackers, breaches, shadow government activity, hacktivism, cybercrime, and all the things that dwell on the hidden parts of the network.",Jack Rhysider,2017,157,7200,https://podcasts.apple.com/us/podcast/darknet-diaries/id1296350485
Oxide and Friends,https://oxide.computer/podcasts/oxide-and-friends,"Oxide hosts a weekly Discord show where we discuss a wide range of topics: computer history, startups, Oxide hardware bringup, and other topics du jour.",Bryan Cantrill and Adam Leventhal,2021,115,34,https://podcasts.apple.com/us/podcast/oxide-and-friends/id1625932222
ThoughtWorks Technology Podcast,https://www.thoughtworks.com/en-us/insights/podcasts/technology-podcasts,Discussions on the latest in technology and software development.,Rebecca Parsons and Alexey Boas,2018,100,13,https://podcasts.apple.com/gb/podcast/thoughtworks-technology-podcast/id881136697
Software Unscripted,https://x.com/rtfeldman,Richard Feldman talks about programming and related topics.,Richard Feldman,2019,94,20,https://podcasts.apple.com/us/podcast/software-unscripted/id1602572955
CoRecursive,https://corecursive.com,The stories and people behind the code. Hear stories of software development from interesting people.,Adam Gordon Bell,2018,93,182,https://podcasts.apple.com/us/podcast/corecursive-coding-stories/id1330329512
The Array Cast,https://www.arraycast.com,"We explore the Array Languages of APL, J, k, q and offshoots. If you are Array Language curious, this is the podcast for you. Occasionally we may dive into the weeds, but most of the time we try to stay accessible to the general listener.",Conor Hoekstra,2019,83,30,https://podcasts.apple.com/us/podcast/the-array-cast/id1568833451
The Future of Coding,https://futureofcoding.org/episodes,Exploring the future of programming and computing.,Steve Krouse,2017,72,25,https://podcasts.apple.com/us/podcast/future-of-coding/id1265527976
Two's Complement,https://www.twoscomplement.org/,"Two’s Complement is a programming podcast, hosted by Matt Godbolt and Ben Rady; two programmers who both grew up wanting to make video games.",Ben Rady and Matt Godbolt,2020,48,21,https://podcasts.apple.com/us/podcast/twos-complement/id1546393988
The Data Engineering Show,https://www.dataengineeringshow.com,The Data Engineering Show is a podcast for data engineering and BI practitioners to go beyond theory. Learn from the biggest influencers in tech about their practical day-to-day data challenges and solutions in a casual and fun setting.,Eldad Farkash and Boaz Farkash,2021,37,7,https://podcasts.apple.com/us/podcast/the-data-engineering-show/id1561927688
The Engineering Room with Dave Farley,https://www.youtube.com/playlist?list=PLwLLcwQlnXByuoAE-jYYg8MSNrzodVtJX,Interviews and discussions about engineering practices.,Dave Farley,2020,30,4,https://podcasts.apple.com/gb/podcast/the-engineering-room-with-dave-farley/id1728703568
StaffEng,https://podcast.staffeng.com,"Conversations with software engineers who have progressed beyond the career level, into Staff levels and beyond. We discuss the areas of work that set Staff-plus level engineers apart from other individual contributors; things like setting technical direction, mentorship and sponsorship, providing engineering perspective to the org.",David Noël-Romas and Alex Kessinger,2020,22,24,https://podcasts.apple.com/us/podcast/staffeng/id1559261829
CS Primer Show,https://show.csprimer.com,A show about computer science and computer science education by Charlie Harrington and Oz Nova.,Charlie Harrington,2023,18,6,https://podcasts.apple.com/us/podcast/the-cs-primer-show/id1680382257
Book Overflow,https://bookoverflow.io,Book Overflow is a podcast created for software engineers by software engineers dedicated to reading the best technical books in the world in an effort to improve our craft. Join Carter Morgan and Nathan Toups as they read a new software engineering book each week!,Carter Morgan and Nathan Toups,2024,7,3,https://podcasts.apple.com/us/podcast/book-overflow/id1745257325
