Top 1,000 Computer Languages
============================

Rankings explained · Explore all 5,155
 https://pldb.io/explorer.html Explore all 5,155
 https://pldb.io/../pages/the-rankings-algorithm.html Rankings explained

name,rank,appeared,tags,creators,foundationScore,inboundLinksCount,measurements,nameLink
JavaScript,1,1995,pl,Brendan Eich,563,617,149,../concepts/javascript.html
C,2,1972,pl,Dennis Ritchie,429,470,106,../concepts/c.html
Python,3,1991,pl,Guido van Rossum,423,444,130,../concepts/python.html
Java,4,1995,pl,James Gosling,149,160,116,../concepts/java.html
C++,5,1985,pl,Bjarne Stroustrup,314,331,83,../concepts/cpp.html
HTML,6,1991,textMarkup,Tim Berners-Lee,546,553,54,../concepts/html.html
CSS,7,1996,stylesheetLanguage,Håkon Wium Lie,447,449,50,../concepts/css.html
Perl,8,1987,pl,Larry Wall,123,127,86,../concepts/perl.html
Ruby,9,1995,pl,Yukihiro Matsumoto,98,103,109,../concepts/ruby.html
PHP,10,1995,pl,Rasmus Lerdorf,61,65,101,../concepts/php.html
Go,11,2009,pl,Rob Pike and Ken Thompson and Robert Griesemer,90,96,98,../concepts/go.html
XML,12,1996,dataNotation,Tim Bray and Jean Paoli and C. M. Sperberg-McQueen and Eve Maler and François Yergeau and John W. Cowan,420,433,42,../concepts/xml.html
JSON,13,2001,dataNotation,Douglas Crockford,636,660,47,../concepts/json.html
SQL,14,1974,queryLanguage,Donald D. Chamberlin and Raymond F. Boyce,57,69,51,../concepts/sql.html
TypeScript,15,2012,pl,Anders Hejlsberg,169,181,90,../concepts/typescript.html
C#,16,2000,pl,Anders Hejlsberg,73,78,83,../concepts/csharp.html
R,17,1993,pl arrayLang,Ross Ihaka and Robert Gentleman,38,44,78,../concepts/r.html
PowerShell,18,2006,pl,Jeffrey Snover,75,76,60,../concepts/powershell.html
Bash,19,1989,pl,Brian Fox,244,247,68,../concepts/bash.html
Rust,20,2010,pl,Graydon Hoare,118,128,90,../concepts/rust.html
Swift,21,2014,pl,Chris Lattner,36,39,87,../concepts/swift.html
MATLAB,22,1984,pl arrayLang,Cleve Moler,17,19,60,../concepts/matlab.html
Scala,23,2004,pl,Martin Odersky,32,33,92,../concepts/scala.html
Lua,24,1993,pl,Roberto Ierusalimschy,69,78,84,../concepts/lua.html
Kotlin,25,2011,pl,Andrey Breslav,24,24,90,../concepts/kotlin.html
