id	filename	pldbScore	rank	appeared	tags	creators	ageAtCreation	foundationScore	numberOfUsersEstimate	numberOfJobsEstimate	inboundLinks	measurements
JavaScript	javascript.scroll	24337	1	1995	pl	Brendan Eich	34	444	5962666	63993	485	140
Python	python.scroll	24318	2	1991	pl	Guido van Rossum	35	355	2952597	46976	367	116
C	c.scroll	24316	3	1972	pl	Dennis Ritchie	31	351	3793768	59919	380	95
Java	java.scroll	24306	4	1995	pl	James Gosling	40	121	5581347	85206	129	105
C++	cpp.scroll	24296	5	1985	pl	Bjarne Stroustrup	35	253	4128238	61098	264	75
HTML	html.scroll	24282	6	1991	textMarkup	Tim Berners-Lee	36	427	5570873	69531	430	49
Perl	perl.scroll	24246	7	1987	pl	Larry Wall	33	98	491984	13482	100	78
CSS	css.scroll	24245	8	1996	stylesheetLanguage	Håkon Wium Lie	31	347	2881846	45617	349	45
PHP	php.scroll	24244	9	1995	pl	Rasmus Lerdorf	27	54	2357682	30349	57	99
Ruby	ruby.scroll	24244	10	1995	pl	Yukihiro Matsumoto	30	84	394798	11438	86	103
Go	go.scroll	24229	11	2009	pl	Rob Pike and Ken Thompson and Robert Griesemer	53	71	687156	6403	73	94
JSON	json.scroll	24215	12	2001	dataNotation	Douglas Crockford	46	509	355741	9228	528	43
XML	xml.scroll	24214	13	1996	dataNotation	Tim Bray and Jean Paoli and C. M. Sperberg-McQueen and Eve Maler and François Yergeau and John Cowan	41	348	1917452	42277	356	39
TypeScript	typescript.scroll	24214	14	2012	pl	Anders Hejlsberg	52	122	217940	1542	129	82
SQL	sql.scroll	24211	15	1974	queryLanguage	Donald D. Chamberlin and Raymond F. Boyce	30	39	7179119	219617	48	49
C#	csharp.scroll	24206	16	2000	pl	Anders Hejlsberg	40	55	217261	19747	57	79
R	r.scroll	24196	17	1993	pl	Ross Ihaka and Robert Gentleman	39	27	1075613	14173	33	75
Bash	bash.scroll	24184	18	1989	pl	Brian Fox	30	197	61747	4774	198	57
PowerShell	powershell.scroll	24181	19	2006	pl	Jeffrey Snover	44	58	208708	19576	59	53
Swift	swift.scroll	24171	20	2014	pl	Chris Lattner	36	26	364099	3754	27	84
Rust	rust.scroll	24168	21	2010	pl	Graydon Hoare	33	87	308939	141	93	80
Scala	scala.scroll	24146	22	2004	pl	Martin Odersky	46	24	139471	4525	24	84
MATLAB	matlab.scroll	24134	23	1984	pl	Cleve Moler	45	12	2661579	32228	13	57
Lua	lua.scroll	24134	24	1993	pl	Roberto Ierusalimschy	33	56	58860	1106	63	74
Haskell	haskell.scroll	24127	25	1990	pl	Paul Hudak and John Hughes	38	75	37628	495	81	80
Kotlin	kotlin.scroll	24116	26	2011	pl	Andrey Breslav	27	17	131287	5276	17	83
Clojure	clojure.scroll	24070	27	2007	pl	Rich Hickey	48	20	59464	469	20	77
CoffeeScript	coffeescript.scroll	24015	29	2009	pl	Jeremy Ashkenas	28	26	23320	216	27	65
Objective-C	objective-c.scroll	24014	30	1984	pl	Brad Cox	40	44	12380	4276	47	64
Julia	julia.scroll	24009	31	2012	pl	Jeff Bezanson and Alan Edelman and Stefan Karpinski and Viral B. Shah	32	10	83769	85	10	84
Lisp	lisp.scroll	24004	32	1958	pl	John McCarthy	31	118	61481	303	122	32
SAS	sas.scroll	23997	33	1976	pl	Anthony James Barr	36	7	361103	4682	9	42
Erlang	erlang.scroll	23993	34	1986	pl	Joe Armstrong and Robert Virding and Mike Williams	36	13	27148	308	13	69
Prolog	prolog.scroll	23983	35	1972	pl	Alain Colmerauer	31	8	51482	446	13	56
Mathematica	mathematica.scroll	23957	36	1988	pl	Stephen Wolfram	29	6	148741	1553	7	46
Dart	dart.scroll	23949	38	2011	pl	Lars Bak	46	8	38325	208	8	68
Pascal	pascal.scroll	23911	42	1970	pl	Niklaus Wirth	36	43	7708	102	49	61
Ada	ada.scroll	23909	43	1980	pl	Jean Ichbiah	40	9	12116	2184	12	66
Fortran	fortran.scroll	23876	46	1957	pl	John Backus	33	0	165151	1931	5	61
Markdown	markdown.scroll	23864	48	2004	textMarkup	John Gruber and Aaron Swartz	31	955	12503	0	964	30
Racket	racket.scroll	23859	49	1994	pl	Matthias Felleisen and Matthew Flatt and Robert Bruce Findler and Shriram Krishnamurthi	36	21	7353	48	24	56
TOML	toml.scroll	23855	50	2013	dataNotation	Tom Preston-Werner	34	168	20055	0	172	29
MySQL	mysql.scroll	23826	54	1995	queryLanguage	David Axmark and Michael Widenius	33	0	2608362	47466	1	48
D	d.scroll	23821	55	2001	pl	Walter Bright and Andrei Alexandrescu	44	22	6311	0	23	64
Scheme	scheme.scroll	23796	57	1975	pl	Guy Steele and Gerald Jay Sussman	21	29	3796	1174	36	57
Groovy	groovy.scroll	23757	61	2003	pl	James Strachan	34	12	6056	0	12	67
awk	awk.scroll	23749	62	1977	pl	Alfred Aho and Peter J. Weinberger and Brian Kernighan	36	35	4680	7	36	44
Tex	tex.scroll	23746	63	1978	pl	Donald Knuth	40	97	4276	3	101	38
OCaml	ocaml.scroll	23728	64	1996	pl	Xavier Leroy	28	48	3341	0	51	66
Coq	coq.scroll	23727	65	1989	pl	Thierry Coquand	28	8	10452	0	8	39
F#	f-sharp.scroll	23727	66	2005	pl	Don Syme	40	17	4316	0	17	74
Smalltalk	smalltalk.scroll	23677	71	1972	pl	Alan Kay and Dan Ingalls and Adele Goldberg	32	10	5400	0	10	46
HAML	haml.scroll	23618	76	2006	template	Hampton Lintorn-Catlin	24	5	6547	0	8	36
Node.js	nodejs.scroll	23601	79	2009	pl	Ryan Dahl	29	0	378129	6864	0	39
Forth	forth.scroll	23583	83	1970	pl	Charles H. Moore	32	10	3230	0	12	44
Liquid	liquid.scroll	23582	84	2008	template	Tobias Lütke	28	4	13801	325	4	27
Deno	deno.scroll	23538	89	2018	compiler	Ryan Dahl	38	0	107126	0	1	30
APL	apl.scroll	23535	90	1964	pl	Kenneth E. Iverson	44	4	3670	0	9	40
ARM	arm.scroll	23518	93	1985	assembly	Sophie Wilson and Steve Furber	28	0	123423	7695	1	25
J	j.scroll	23449	97	1990	pl	Kenneth E. Iverson and Roger Hui	70	0	3790	0	4	46
SQLite	sqlite.scroll	23404	106	2000	queryLanguage	Dwayne Richard Hipp	39	0	5610	561	1	35
ANTLR	antlr.scroll	23388	107	1992	grammarLanguage	Terence Parr	28	0	3048	30	5	38
Delphi	delphi.scroll	23365	111	1995	pl	Anders Hejlsberg	35	0	7084	181	0	46
JQuery	jquery.scroll	23350	112	2006	library	John Resig	22	0	1673925	24780	0	23
sed	sed.scroll	23336	114	1974	pl	Lee E. McMahon	43	17	1865	0	17	29
V	v.scroll	23319	118	2019	pl	Alexander Medvednikov	26	0	37480	0	0	28
Tcl	tcl.scroll	23310	123	1988	pl	John Ousterhout	34	0	3106	0	1	47
Sass	sass.scroll	23285	129	2006	stylesheetLanguage	Hampton Lintorn-Catlin	24	2	3241	0	2	30
BASIC	basic.scroll	23282	131	1964	pl	John G. Kemeny and Thomas E. Kurtz	38	0	7025	0	0	38
ActionScript	actionscript.scroll	23279	132	1998	pl	Gary Grossman	36	5	1630	88	5	35
HTTP	http.scroll	23262	138	1989	protocol	Tim Berners-Lee	34	0	33780	771996	0	22
PostScript	postscript.scroll	23232	147	1982	textMarkup	John Warnock and Chuck Geschke and Doug Brotz and Ed Taft and Bill Paxton	42	0	2585	0	1	39
Common Lisp	common-lisp.scroll	23183	155	1984	pl	Scott Fahlman and Richard P. Gabriel and David A. Moon and Kent Pitman and Guy Steele and Dan Weinreb	36	0	1891	24	1	45
ColdFusion	coldfusion.scroll	23175	157	1995	pl	Joseph J. Allaire	26	3	1646	0	4	32
Eiffel	eiffel.scroll	23152	164	1986	pl	Bertrand Meyer	36	0	1690	0	1	52
ML	ml.scroll	23100	180	1973	pl	Robin Milner	39	0	2725	6	1	27
